,id,title,price,available_quantity,city,state,seller,Brand
39,MLA1220188993,Xiaomi Mi Tv Stick Android Chromecast Smart Netflix Amazon +,47999.0,1,Ituzaingó,Buenos Aires,EC-ELECTRONICA,XIAOMI
40,MLA1149175419,Xiaomi Mi Tv Stick Convertidor De Smart Mdz-24-aa,35949.0,1,Casilda,Santa Fe,WB INSUMOS,XIAOMI
41,MLA873141768,Xiaomi Mi Tv Stick Full Hd Android Chromecast Netflix Amazon,49999.0,500,Paternal,Capital Federal,BAZA 10,XIAOMI
42,MLA1142782181,Control Remoto Para Xiaomi Tv ,7499.0,1,Nueva Pompeya,Capital Federal,..SANLORENZOSATELITAL.COM,XIAOMI
43,MLA924341937,Xiaomi Mi Tv Stick De Voz Full Hd 8gb Con 1gb De Memoria Ram,49239.0,1,Rosario,Santa Fe,ROSARIOALCOSTOSRL,XIAOMI
44,MLA1419472828,Xiaomi Mi Box S Mdz-28-aa 4k 8gb 2gb Ram 2th Gen Horade,49999.0,1,Monserrat,Capital Federal,HORADE SRL,XIAOMI
45,MLA1248404176,Xiaomi Mi Tv Stick Mdz-24-aa Full Hd,53540.0,1,Rosario,Santa Fe,NICOLASMVK,XIAOMI
46,MLA1243343939,Xiaomi Mi Tv Stick Mdz-24-aa Full Hd ,40375.0,1,Rosario,Santa Fe,NICOLASMVK,XIAOMI
47,MLA873142933,Xiaomi Mi Tv Stick Full Hd Android Media Streaming Wifi,49999.0,500,Paternal,Capital Federal,GAMESTATION ARG,XIAOMI
48,MLA1370173675,Xiaomi Mi Box S Mdz-28-aa 4k 8gb 2gb Ram 2th Gen Evotech,49999.0,1,Florida,Buenos Aires,EVOTECH NORTE,XIAOMI
49,MLA1174435149,Xiaomi Mi Tv Stick Mdz-24-ab Full Hd 8gb - 1gb Ram Martinez,37499.0,1,Martinez,Buenos Aires,PLANETSTORESRL,XIAOMI
